Name;Age;Height;Games_played;Goals;Points;Penalty_minutes;Home_country
Wyatt Johnston;19;6.02;68;46;124;26;Canada
Rory Kerins;20;5.11;67;43;118;49;Canada
Lucas Edmonds;21;5.11;68;34;113;14;Canada
Luke Evangelista;20;6.00;62;55;111;48;Canada
Brandon Coe;20;6.05;62;34;101;40;Canada
Logan Morrison;20;6.00;60;34;100;8;Canada
Brennan Othmann;19;6.00;66;50;97;65;Canada
Shane Wright;18;6.01;63;32;94;22;Canada
Matvey Petrov;19;6.02;63;40;90;28;Russia
Mitchell Russell;21;6.00;64;41;88;26;Canada
Jordan Frasca;21;6.02;61;42;87;30;Canada
Martin Chromiak;19;5.10;60;44;86;8;Slovakia
Ty Tullio;20;5.11;65;42;86;62;Canada
Emmett Sproule;21;5.11;65;30;86;25;Canada
Matthew Maggio;19;6.00;66;38;85;22;Canada
Antonio Stranges;20;5.11;60;31;84;6;United States
Tucker Robertson;19;5.10;68;41;81;48;Canada
Will Cuylle;20;6.04;59;43;80;48;Canada
Ty Voit;19;5.09;67;26;80;10;United States
Tye Kartye;21;6.01;63;45;79;57;Canada
Avery Hayes;19;5.10;66;41;79;37;United States
James Hardie;20;5.11;68;41;77;31;Canada
Sasha Pastujov;19;6.01;65;34;76;33;
Luca DelBelBelluz;18;6.01;68;30;76;28;Canada
Cole MacKay;21;5.11;61;28;75;35;Canada
Francesco Arcuri;19;6.02;66;34;74;35;Canada
David Goyette;18;5.11;66;33;73;33;Canada
Sean McGurn;19;5.11;66;20;73;16;Canada
Danil Gushchin;20;5.10;51;41;71;50;Russia
Mike Petizian;21;5.06;68;34;71;54;Canada
Cody Morgan;21;6.00;68;30;71;15;Canada
George Diaco;20;5.07;68;27;70;12;Canada
Joseph Serpa;20;5.11;62;20;69;34;Canada
J.R. Avon;19;6.00;64;29;68;36;Canada
Nathan Staios;21;5.10;59;15;66;76;Canada
Louka Henault;21;5.11;63;8;65;56;Canada
Jan Mysak;20;6.00;61;34;64;6;Czech Rep. 
Daniel D'Amato;21;6.01;63;24;63;38;Canada
Deni Goure;19;5.10;68;24;63;20;Canada
Kyle Jackson;19;6.02;45;30;62;23;Canada
Declan McDonnell (total);20;5.10;63;28;62;67;United States
Ryan Humphrey;19;6.00;68;25;62;82;United States
Pavel Mintyukov;18;6.02;67;17;62;28;Russia
Josh Bloom;19;6.02;67;30;61;39;Canada
Brett Harrison;19;6.03;65;27;61;16;Canada
Elias Cohen;19;6.00;65;24;61;48;Canada
Francesco Pinelli;19;6.00;55;22;60;31;Canada
Christian Kyrou;18;5.11;68;18;60;44;United States
Nolan Burke;19;6.01;64;34;59;23;Canada
Cedrick Guindon;18;5.11;68;30;59;16;Canada
Amadeus Lombardi;19;5.10;67;18;59;24;Canada
Brandt Clarke;19;6.02;55;11;59;29;Canada
Daniel D'Amico;21;5.10;67;32;58;34;Canada
Riley Piercey;20;6.03;59;27;58;73;Canada
Ethan Cardwell;19;5.11;49;23;58;28;Canada
Nolan Dann;19;5.09;64;29;57;41;Canada
Jack Thompson (total);20;6.01;65;21;57;34;Canada
Robert Calisti;21;5.09;66;21;57;59;Canada
Gavin White;19;6.00;66;10;56;21;Canada
Kyle McDonald (total);20;6.05;53;35;55;29;Canada
Reid Valade;20;5.10;63;30;55;47;Canada
Danny Zhilkin;18;6.02;66;23;55;24;Canada
Servac Petrovsky;17;5.11;65;28;54;28;Slovakia
Nathan Allensen;21;6.00;66;15;54;68;Canada
Lleyton Moore;20;5.08;67;5;54;46;Canada
Joe Carroll (total);21;6.03;56;25;53;77;Canada
Theo Hill;20;6.00;67;21;53;46;Canada
Dalton Duhart;21;6.00;64;21;52;66;United States
Matyas Sapovaliv;18;6.03;68;18;52;26;Czech Rep.
Anthony Tabak;20;6.05;64;15;52;40;Canada
Ethan Burroughs;19;5.10;68;30;51;33;Canada
Dean Loukus;19;5.10;64;22;51;45;United States
Owen Beck;18;6.00;68;21;51;14;Canada
Ty Nelson;18;5.10;66;9;51;39;Canada
Matthew Poitras;18;5.11;68;21;50;58;Canada
Evan Konyen;18;5.11;66;16;50;35;United States
Mitchell Smith;19;5.11;68;16;50;41;United States
Oskar Olausson (total);19;6.02;55;26;49;18;Sweden
Bryce McConnell-Barker;18;6.01;68;23;49;14;Canada
Nick DeGrazia;19;6.01;65;22;49;2;Canada
Chase Stillman (total);19;6.01;59;19;49;64;Canada
Gavin Hayes;18;6.01;65;19;49;18;United States
Brenden Sirizzotti (total);19;6.00;73;17;49;24;Canada
Andrew Perrott (total);20;6.00;62;5;49;79;United States
Vinzenz Rohrer;17;5.11;64;25;48;14;Austria
Connor Lockhart;19;5.09;64;23;48;22;United States
Brett Bressette;19;5.08;66;21;48;13;Canada
Zacharie Giroux;19;5.06;60;14;48;37;Canada
Ethan Del Mastro;19;6.04;68;7;48;91;Canada
Colby Barlow;17;6.00;59;30;47;18;Canada
Beau Jelsma;18;5.09;68;27;47;23;Canada
Mason McTavish (total);19;6.01;29;20;47;31;Canada
Evan Vierling;20;6.00;55;20;47;15;Canada
Tanner Dickinson;20;6.00;35;18;47;8;United States
Ryan Winterton;18;6.02;37;20;46;23;Canada
Kocha Delic;18;5.10;65;17;46;29;Canada
Noah Sedore;20;5.09;68;17;46;32;Canada
Ryan Abraham;18;5.10;64;15;46;60;United States
Ryan O'Rourke;20;6.00;51;10;46;87;Canada
Nicholas Porco (total);21;6.00;59;25;45;27;Canada
