Countries;Population_2022;Population_2021;Growth_rate_%;Area;Density_km2
China;1,448,471,400;1,444,216,107;0.29;9,706,961;149
India;1,406,631,776;1,393,409,038;0.95;3,287,590;428
United States;334,805,269;332,915,073;0.57;9,372,610;36
Indonesia;279,134,505;276,361,783;1.00;1,904,569;147
Pakistan;229,488,994;225,199,937;1.90;881,912;260
Nigeria;216,746,934;211,400,708;2.53;923,768;235
Brazil;215,353,593;213,993,437;0.64;8,515,767;25
Bangladesh;167,885,689;166,303,498;0.95;147,570;1,138
Russia;145,805,947;145,912,025;-0.07;17,098,242;9
Mexico;131,562,772;130,262,216;1.00;1,964,375;67
Japan;125,584,838;126,050,804;-0.37;377,930;332
Ethiopia;120,812,698;117,876,227;2.49;1,104,300;109
Philippines;112,508,994;111,046,913;1.32;342,353;329
Egypt;106,156,692;104,258,327;1.82;1,002,450;106
Vietnam;98,953,541;98,168,833;0.80;331,212;299
DR Congo;95,240,792;92,377,993;3.10;2,344,858;41
Iran;86,022,837;85,028,759;1.17;1,648,195;52
Turkey;85,561,976;85,042,738;0.61;783,562;109
Germany;83,883,596;83,900,473;-0.02;357,114;235
Thailand;70,078,203;69,950,850;0.18;513,120;137
United Kingdom;68,497,907;68,207,116;0.43;242,900;282
France;65,584,518;65,426,179;0.24;551,695;119
Tanzania;63,298,550;61,498,437;2.93;945,087;67
South Africa;60,756,135;60,041,994;1.19;1,221,037;50
Italy;60,262,770;60,367,477;-0.17;301,336;200
England;57,367,811;;0.72;130,279;440
Kenya;56,215,221;54,985,698;2.24;580,367;97
Myanmar;55,227,143;54,806,012;0.77;676,578;82
Colombia;51,512,762;51,265,844;0.48;1,141,748;45
South Korea;51,329,899;51,305,186;0.05;100,210;512
Uganda;48,432,863;47,123,531;2.78;241,550;201
Spain;46,719,142;46,745,216;-0.06;505,992;92
Argentina;46,010,234;45,605,826;0.89;2,780,400;17
Sudan;45,992,020;44,909,353;2.41;1,886,068;24
Algeria;45,350,148;44,616,624;1.64;2,381,741;19
Ukraine;43,192,122;43,466,819;-0.63;603,500;72
Iraq;42,164,965;41,179,350;2.39;438,317;96
Afghanistan;40,754,388;39,835,428;2.31;652,230;62
Canada;38,388,419;38,067,903;0.84;9,984,670;4
Morocco;37,772,756;37,344,795;1.15;446,550;85
Poland;37,739,785;37,797,005;-0.15;312,679;121
Saudi Arabia;35,844,909;35,340,683;1.43;2,149,690;17
Angola;35,027,343;33,933,610;3.22;1,246,700;28
Uzbekistan;34,382,084;33,935,763;1.32;447,400;77
Peru;33,684,208;33,359,418;0.97;1,285,216;26
Malaysia;33,181,072;32,776,194;1.24;330,803;100
Mozambique;33,089,461;32,163,047;2.88;801,590;41
Ghana;32,395,450;31,732,129;2.09;238,533;136
Yemen;31,154,867;30,490,640;2.18;527,968;59
Nepal;30,225,582;29,674,920;1.86;147,181;205
Venezuela;29,266,991;28,704,954;1.96;916,445;32
Madagascar;29,178,077;28,427,328;2.64;587,041;50
Cameroon;27,911,548;27,224,265;2.52;475,442;59
Ivory Coast;27,742,298;27,053,629;2.55;322,463;86
Niger;26,083,660;25,130,817;3.79;1,267,000;21
Australia;26,068,792;25,788,215;1.09;7,692,024;3
North Korea;25,990,679;25,887,041;0.40;120,538;216
Taiwan;23,888,595;23,855,010;0.14;36,193;660
Burkina Faso;22,102,838;21,497,096;2.82;272,967;81
Sri Lanka;21,575,842;21,497,310;0.37;65,610;329
Mali;21,473,764;20,855,735;2.96;1,240,192;17
Malawi;20,180,839;19,647,684;2.71;118,484;170
Zambia;19,470,234;18,920,651;2.90;752,612;26
Syria;19,364,809;18,275,702;5.96;185,180;105
Chile;19,250,195;19,212,361;0.20;756,102;25
Kazakhstan;19,205,043;18,994,962;1.11;2,724,900;7
Romania;19,031,335;19,127,774;-0.50;238,391;80
Guatemala;18,584,039;18,249,860;1.83;108,889;171
Ecuador;18,113,361;17,888,475;1.26;276,841;65
Senegal;17,653,671;17,196,301;2.66;196,722;90
Chad;17,413,580;16,914,985;2.95;1,284,000;14
Netherlands;17,211,447;17,173,099;0.22;41,850;411
Cambodia;17,168,639;16,946,438;1.31;181,035;95
Somalia;16,841,795;16,359,504;2.95;637,657;26
Zimbabwe;15,331,428;15,092,171;1.59;390,757;39
Guinea;13,865,691;13,497,244;2.73;245,857;56
Rwanda;13,600,464;13,276,513;2.44;26,338;516
Benin;12,784,726;12,451,040;2.68;112,622;114
Burundi;12,624,840;12,255,433;3.01;27,834;454
Tunisia;12,046,656;11,935,766;0.93;163,610;74
Bolivia;11,992,656;11,832,940;1.35;1,098,581;11
Haiti;11,680,283;11,541,685;1.20;27,750;421
Belgium;11,668,278;11,632,326;0.31;30,528;382
South Sudan;11,618,511;11,381,378;2.08;619,745;19
Cuba;11,305,652;11,317,505;-0.10;109,884;103
Dominican Republic;11,056,370;10,953,703;0.94;48,671;227
Czech Republic;10,736,784;10,724,555;0.11;78,865;136
Greece;10,316,637;10,370,744;-0.52;131,990;78
Jordan;10,300,869;10,269,021;0.31;89,342;115
Azerbaijan;10,300,205;10,223,342;0.75;86,600;119
Honduras;10,221,247;10,062,991;1.57;112,492;91
Sweden;10,218,971;10,160,169;0.58;450,295;23
Portugal;10,140,570;10,167,925;-0.27;92,090;110
United Arab Emirates;10,081,785;9,991,089;0.91;83,600;121
Tajikistan;9,957,464;9,749,627;2.13;143,100;70
Hungary;9,606,259;9,634,164;-0.29;93,028;103
Belarus;9,432,800;9,442,862;-0.11;207,600;45
Papua New Guinea;9,292,169;9,119,010;1.90;462,840;20
Austria;9,066,710;9,043,070;0.26;83,871;108
Israel;8,922,892;8,789,774;1.51;20,770;430
Switzerland;8,773,637;8,715,494;0.67;41,284;213
Togo;8,680,837;8,478,250;2.39;56,785;153
Serbia;8,653,016;8,697,550;-0.51;88,361;98
Sierra Leone;8,306,436;8,141,343;2.03;71,740;116
Hong Kong;7,604,299;7,552,810;0.68;1,104;6,888
Laos;7,481,023;7,379,358;1.38;236,800;32
Paraguay;7,305,843;7,219,638;1.19;406,752;18
Libya;7,040,745;6,958,532;1.18;1,759,540;4
Bulgaria;6,844,597;6,896,663;-0.75;110,879;62
Nicaragua;6,779,100;6,702,385;1.14;130,373;52
Kyrgyzstan;6,728,271;6,628,356;1.51;199,951;34
Lebanon;6,684,849;6,769,146;-1.25;10,452;640
El Salvador;6,550,389;6,518,499;0.49;21,041;311
Turkmenistan;6,201,943;6,117,924;1.37;488,100;13
Singapore;5,943,546;5,896,686;0.79;710;8,371
Denmark;5,834,950;5,813,298;0.37;43,094;135
Republic of the Congo;5,797,805;5,657,013;2.49;342,000;17
Finland;5,554,960;5,548,360;0.12;338,424;16
Norway;5,511,370;5,465,630;0.84;323,802;17
Scotland;5,504,651;;0.35;77,933;71
Slovakia;5,460,193;5,460,721;-0.01;49,037;111
Palestine;5,345,541;5,222,748;2.35;6,220;859
Oman;5,323,993;5,223,375;1.93;309,500;17
Liberia;5,305,117;5,180,203;2.41;111,369;48
Costa Rica;5,182,354;5,139,052;0.84;51,100;101
Ireland;5,020,199;4,982,907;0.75;70,273;71
Central African Republic;5,016,678;4,919,981;1.97;622,984;8
Mauritania;4,901,981;4,775,119;2.66;1,030,700;5
New Zealand;4,898,203;4,860,643;0.77;270,467;18
Panama;4,446,964;4,381,579;1.49;75,417;59
Kuwait;4,380,326;4,328,550;1.20;17,818;246
Croatia;4,059,286;4,081,651;-0.55;56,594;72
Moldova;4,013,171;4,024,019;-0.27;33,846;119
Georgia;3,968,738;3,979,765;-0.28;69,700;57
Eritrea;3,662,244;3,601,467;1.69;117,600;31
Uruguay;3,496,016;3,485,151;0.31;181,034;19
Mongolia;3,378,078;3,329,289;1.47;1,564,110;2
Bosnia And Herzegovina;3,249,317;3,263,466;-0.43;51,209;63
Wales;3,193,665;;0.38;20,779;154
Jamaica;2,985,094;2,973,463;0.39;10,991;272
Qatar;2,979,915;2,930,528;1.69;11,586;257
Armenia;2,971,966;2,968,127;0.13;29,743;100
Albania;2,866,374;2,872,933;-0.23;28,748;100
Puerto Rico;2,829,812;2,828,255;0.06;8,870;319
Lithuania;2,661,708;2,689,862;-1.05;65,300;41
Namibia;2,633,874;2,587,344;1.80;825,615;3
Gambia;2,558,482;2,486,945;2.88;10,689;239
Botswana;2,441,162;2,397,241;1.83;582,000;4
Gabon;2,331,533;2,278,825;2.31;267,668;9
Lesotho;2,175,699;2,159,079;0.77;30,355;72
North Macedonia;2,081,304;2,082,658;-0.07;25,713;81
Slovenia;2,078,034;2,078,724;-0.03;20,273;103
Guinea Bissau;2,063,367;2,015,494;2.38;36,125;57
Latvia;1,848,837;1,866,942;-0.97;64,559;29
Kosovo;1,802,250;;0.11;10,887;166
Bahrain;1,783,983;1,748,296;2.04;765;2,332
Equatorial Guinea;1,496,662;1,449,896;3.23;28,051;53
Trinidad And Tobago;1,406,585;1,403,375;0.23;5,130;274
Timor Leste;1,369,429;1,343,873;1.90;14,874;92
Estonia;1,321,910;1,325,185;-0.25;45,227;29
Mauritius;1,274,727;1,273,433;0.10;2,040;625
Cyprus;1,223,387;1,215,584;0.64;9,251;132
Eswatini;1,184,817;1,172,362;1.06;17,364;68
Djibouti;1,016,097;1,002,187;1.39;23,200;44
Fiji;909,466;902,906;0.73;18,272;50
Reunion;908,061;901,686;0.71;2,511;362
